iso_code;continent;region;country;hdi;population;area_sq_ml;climate
AFG;Asia;ASIA (EX. NEAR EAST);Afghanistan;0.498;31056997;647500;1
AGO;Africa;SUB-SAHARAN AFRICA;Angola;0.581;12127071;1246700;
ALB;Europe;EASTERN EUROPE;Albania;0.785;3581655;28748;3
AND;Europe;WESTERN EUROPE;Andorra;0.858;71201;468;3
ARE;Asia;NEAR EAST;United Arab Emirates;0.863;2602713;82880;1
ARG;South America;LATIN AMER. & CARIB;Argentina;0.825;39921833;2766890;3
ARM;Asia;C.W. OF IND. STATES;Armenia;0.755;2976372;29800;4
AUS;Oceania;OCEANIA;Australia;0.9390000000000001;20264082;7686850;1
AUT;Europe;WESTERN EUROPE;Austria;0.9079999999999999;8192880;83870;3
AZE;Asia;C.W. OF IND. STATES;Azerbaijan;0.757;7961619;86600;1
BDI;Africa;SUB-SAHARAN AFRICA;Burundi;0.41700000000000004;8090068;27830;2
BEL;Europe;WESTERN EUROPE;Belgium;0.9159999999999999;10379067;30528;3
BEN;Africa;SUB-SAHARAN AFRICA;Benin;0.515;7862944;112620;2
BFA;Africa;SUB-SAHARAN AFRICA;Burkina Faso;0.423;13902972;274200;2
BGD;Asia;ASIA (EX. NEAR EAST);Bangladesh;0.608;147365352;144000;2
BGR;Europe;EASTERN EUROPE;Bulgaria;0.813;7385367;110910;3
BHR;Asia;NEAR EAST;Bahrain;0.846;698585;665;1
BLR;Europe;C.W. OF IND. STATES;Belarus;0.8079999999999999;10293011;207600;4
BLZ;North America;LATIN AMER. & CARIB;Belize;0.708;287730;22966;2
BOL;South America;LATIN AMER. & CARIB;Bolivia;0.693;8989046;1098580;1
BRA;South America;LATIN AMER. & CARIB;Brazil;0.759;188078227;8511965;2
BRB;North America;LATIN AMER. & CARIB;Barbados;0.8;279912;431;2
BRN;Asia;ASIA (EX. NEAR EAST);Brunei;0.853;379444;5770;2
BTN;Asia;ASIA (EX. NEAR EAST);Bhutan;0.612;2279723;47000;2
BWA;Africa;SUB-SAHARAN AFRICA;Botswana;0.7170000000000001;1639833;600370;1
CAN;North America;NORTHERN AMERICA;Canada;0.9259999999999999;33098932;9984670;
CHE;Europe;WESTERN EUROPE;Switzerland;0.9440000000000001;7523934;41290;3
CHL;South America;LATIN AMER. & CARIB;Chile;0.843;16134219;756950;3
CHN;Asia;ASIA (EX. NEAR EAST);China;0.752;1313973713;9596960;1
CIV;Africa;SUB-SAHARAN AFRICA;Cote d'Ivoire;0.49200000000000005;17654843;322460;2
CMR;Africa;SUB-SAHARAN AFRICA;Cameroon;0.556;17340702;475440;1
COL;South America;LATIN AMER. & CARIB;Colombia;0.747;43593035;1138910;2
COM;Africa;SUB-SAHARAN AFRICA;Comoros;0.503;690948;2170;2
CPV;Africa;SUB-SAHARAN AFRICA;Cape Verde;0.654;420979;4033;3
CRI;North America;LATIN AMER. & CARIB;Costa Rica;0.794;4075261;51100;2
CUB;North America;LATIN AMER. & CARIB;Cuba;0.777;11382820;110860;2
CYP;Europe;NEAR EAST;Cyprus;0.8690000000000001;784301;9250;3
CZE;Europe;EASTERN EUROPE;Czech Republic;0.900;10693939;78866;3
DEU;Europe;WESTERN EUROPE;Germany;0.9359999999999999;82422299;357021;3
DJI;Africa;SUB-SAHARAN AFRICA;Djibouti;0.47600000000000003;486530;23000;1
DMA;North America;LATIN AMER. & CARIB;Dominica;0.715;68910;754;2
DNK;Europe;WESTERN EUROPE;Denmark;0.929;5450661;43094;3
DOM;North America;LATIN AMER. & CARIB;Dominican Republic;0.736;9183984;48730;2
DZA;Africa;NORTHERN AFRICA;Algeria;0.754;32930091;2381740;1
ECU;South America;LATIN AMER. & CARIB;Ecuador;0.752;13547510;283560;2
EGY;Africa;NORTHERN AFRICA;Egypt;0.696;78887007;1001450;1
ERI;Africa;SUB-SAHARAN AFRICA;Eritrea;0.44;4786994;121320;1
ESP;Europe;WESTERN EUROPE;Spain;0.8909999999999999;40397842;504782;3
EST;Europe;BALTICS;Estonia;0.871;1324333;45226;3
ETH;Africa;SUB-SAHARAN AFRICA;Ethiopia;0.46299999999999997;74777981;1127127;2
FIN;Europe;WESTERN EUROPE;Finland;0.92;5231372;338145;3
FJI;Oceania;OCEANIA;Fiji;0.741;905949;18270;2
FRA;Europe;WESTERN EUROPE;France;0.9009999999999999;60876136;547030;4
GAB;Africa;SUB-SAHARAN AFRICA;Gabon;0.7020000000000001;1424906;267667;2
GBR;Europe;WESTERN EUROPE;United Kingdom;0.922;60609153;244820;3
GEO;Asia;C.W. OF IND. STATES;Georgia;0.78;4661473;69700;3
GHA;Africa;SUB-SAHARAN AFRICA;Ghana;0.5920000000000001;22409572;239460;2
GIN;Africa;SUB-SAHARAN AFRICA;Guinea;0.45899999999999996;9690222;245857;2
GNB;Africa;SUB-SAHARAN AFRICA;Guinea-Bissau;0.455;1442029;36120;2
GNQ;Africa;SUB-SAHARAN AFRICA;Equatorial Guinea;0.591;540109;28051;2
GRC;Europe;WESTERN EUROPE;Greece;0.87;10688058;131940;3
GRD;North America;LATIN AMER. & CARIB;Grenada;0.772;89703;344;2
GTM;North America;LATIN AMER. & CARIB;Guatemala;0.65;12293545;108890;2
GUY;South America;LATIN AMER. & CARIB;Guyana;0.654;767245;214970;2
HKG;Asia;ASIA (EX. NEAR EAST);Hong Kong;0.9329999999999999;6940432;1092;2
HND;North America;LATIN AMER. & CARIB;Honduras;0.617;7326496;112090;2
HRV;Europe;EASTERN EUROPE;Croatia;0.831;4494749;56542;
