iso_code,date,icu_patients,hosp_patients,source_epidemiologiste
AUT,01/04/2020,215.0,856.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,02/04/2020,219.0,823.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,03/04/2020,245.0,829.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,04/04/2020,245.0,826.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,05/04/2020,244.0,712.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,06/04/2020,250.0,824.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,07/04/2020,243.0,857.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,08/04/2020,267.0,829.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,09/04/2020,266.0,820.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,10/04/2020,261.0,771.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,11/04/2020,245.0,790.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,12/04/2020,243.0,792.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,13/04/2020,239.0,742.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,14/04/2020,243.0,759.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,15/04/2020,232.0,769.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,16/04/2020,238.0,729.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,17/04/2020,227.0,682.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,18/04/2020,208.0,647.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,19/04/2020,204.0,613.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,20/04/2020,194.0,611.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,21/04/2020,196.0,560.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,22/04/2020,176.0,524.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,23/04/2020,169.0,508.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,24/04/2020,156.0,495.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,25/04/2020,148.0,460.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,26/04/2020,145.0,449.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,27/04/2020,140.0,439.0,e782830c-4592-4eb4-a144-be8c076e3018
AUT,28/04/2020,136.0,425.0,e782830c-4592-4eb4-a144-be8c076e3018
